query,marked_as_ads,short_text_rate,hash,type,attachments,date,from_id,id,is_favorite,owner_id,post_type,text,donut.is_donut,comments.can_post,comments.count,likes.can_like,likes.count,likes.user_likes,likes.can_publish,likes.repost_disabled,post_source.type,reposts.count,reposts.user_reposted,views.count,post_source.platform,signer_id,comments.groups_can_post,zoom_text,text_for_sentiment
электросамокат,0.0,0.8,KC7XV_4Rh9vBwl5F4CT5od_0AtGd,post,[],1677679202.0,-59780149.0,11805916.0,False,-59780149.0,post,обожаю когда женщины оказывают друг другу солидарность и поддержку в воскресенье выехала по делам на велосипеде и встретила девушек с электросамокатами одна из которых показала мне 👍🏻 так сказать поставила лайк в реале 😄 настроение на весь день сестра вы тоже крутышки 👍🏻 👍🏻  в нашей республике а особенно в маленьком городе вроде кизляра девушке не легко решиться показаться на публике с велосипедом и тд а особенно если девушка носит хиджаб,False,1.0,62.0,1.0,15.0,0.0,1.0,False,api,1.0,0.0,2422.0,,,,,обожаю когда женщины оказывают друг другу солидарность и поддержку в воскресенье выехала по делам на велосипеде и встретила девушек с электросамокатами одна из которых показала мне 👍🏻 так сказать поставила лайк в реале 😄 настроение на весь день сестра вы тоже крутышки 👍🏻 👍🏻  в нашей республике а особенно в маленьком городе вроде кизляра девушке не легко решиться показаться на публике с велосипедом и тд а особенно если девушка носит хиджаб
электросамокат,0.0,0.8,ocDVs2VOlTD-PAdDoEvIEXCeY-TO,post,[],1626184807.0,-59780149.0,9162800.0,False,-59780149.0,post,ох уж эти постоянные ссоры между пешеходами и персонажами на транспорте водителями машин велосипедистами и ещё самокатчиками😵 вчера стали с коллегой зрителями заварушки молодой человек лет пятнадцати мчался на всю на выше отмеченном электросамокате и по всей видимости вовремя не заметил идущую далее семью и  практически за пару метров до крошечного ребёнка успел свернуть и вдобавок упал сильно так ему ещё и отец мальчика всыпал похоже для того чтобы гонял спокойнее в дальнейшем вывод следующий не гоните однако насилие также не решение давайте уважать людей и пытаться  оставаться в адеквате,False,1.0,285.0,1.0,6.0,0.0,1.0,False,api,0.0,0.0,2549.0,iphone,,,,ох уж эти постоянные ссоры между пешеходами и персонажами на транспорте водителями машин велосипедистами и ещё самокатчиками😵 вчера стали с коллегой зрителями заварушки молодой человек лет пятнадцати мчался на всю на выше отмеченном электросамокате и по всей видимости вовремя не заметил идущую далее семью и  практически за пару метров до крошечного ребёнка успел свернуть и вдобавок упал сильно так ему ещё и отец мальчика всыпал похоже для того чтобы гонял спокойнее в дальнейшем вывод следующий не гоните однако насилие также не решение давайте уважать людей и пытаться  оставаться в адеквате
электросамокат,0.0,0.8,VpSoBrChhucDhv9azQybW4Mlz5Ei,post,[],1650523200.0,-57825647.0,52505.0,False,-57825647.0,post,посоветуйте пожалуйста стоит ли везти с собой на  дней самокат или электросамокат для летки боюсь не выдержит делительных пешеходных прогулок по парку,False,1.0,37.0,1.0,7.0,0.0,1.0,False,vk,0.0,0.0,2539.0,,96296381.0,True,,посоветуйте пожалуйста стоит ли везти с собой на  дней самокат или электросамокат для летки боюсь не выдержит делительных пешеходных прогулок по парку
электросамокат,0.0,0.8,OMDd6Pph2GkZ9HvAsPafnWd-sDGx,post,[],1628748635.0,-57825647.0,46098.0,False,-57825647.0,post,где найти промокоды   urent электросамокаты  на скидку,False,1.0,1.0,1.0,1.0,0.0,1.0,False,api,0.0,0.0,1298.0,admin_app,1478488.0,True,True,где найти промокоды   urent электросамокаты  на скидку
электросамокат,0.0,0.8,G_B_y7pHcjoeTSJYTk6Rm4YQSJoC,post,[],1563613920.0,-57825647.0,30322.0,False,-57825647.0,post,скажите пжлста можно ли взять в аренду у парка электросамокат и какая цена,False,1.0,1.0,1.0,2.0,0.0,1.0,False,api,0.0,0.0,738.0,iphone,26884053.0,True,True,скажите пжлста можно ли взять в аренду у парка электросамокат и какая цена
